timestamp,frame_num,mode,obj_count,obj_classes,avg_confidence,avg_depth_m,cpu_power_w,gpu_power_w,inst_power_w,frame_power_mj,pixel_power_uj,total_energy_wh,peak_power_w,energy_per_frame_mj,energy_per_object_mj,fps_per_watt,objects_per_joule,yolo_efficiency,frame_latency_ms,capture_ms,preprocess_ms,yolo_ms,track_ms,render_ms,bottleneck_stage,fps,fps_stability_std,dropped_frames,cpu_pct,gpu_pct,ram_mb,gpu_mb,motion_detected,tracking_stability_pct
2026-06-09 10:25:36,1,rgb,0,—,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.32,28.64,4.44,0.0,0.0,7.04,capture,0.0,0.0,0,0.0,0.0,0.0,0.0,0,100.0
2026-06-09 10:25:37,6,rgb,1,person|dog|dog,0.411,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.71,1000.0,0.007,172.57,18.19,3.93,143.28,0.12,6.87,yolo,5.8,2.32,0,0.0,0.0,0.0,0.0,0,100.0
2026-06-09 10:25:38,36,rgb,1,person|dog|dog,0.465,0,0.0,3.0,3.0,167.82,0.5463,0.000337,3.0,167.82,167.82,9.58,6.0,0.033,55.94,14.77,3.51,30.49,0.11,6.87,yolo,28.7,4.11,0,0.0,5.0,1124.6,141.0,0,100.0
2026-06-09 10:25:39,65,rgb,2,person|dog|dog,0.477,0,5.04,3.0,8.04,264.677,0.8616,0.001833,8.04,264.677,132.339,3.57,7.6,0.251,32.92,14.32,3.42,7.98,0.11,6.87,capture,28.7,0.0,0,11.2,5.0,1125.5,141.0,1,100.0
2026-06-09 10:25:40,93,rgb,1,person|dog|dog,0.46,0,11.52,3.0,14.52,485.694,1.581,0.004136,14.52,485.694,485.694,1.83,2.1,0.119,33.45,13.74,3.69,8.4,0.14,7.21,capture,26.5,0.41,0,25.6,5.0,1125.5,141.0,1,100.0
2026-06-09 10:25:41,121,rgb,1,person|dog|dog,0.437,0,21.55,3.0,24.55,828.563,2.6971,0.008127,24.55,828.563,828.563,1.12,1.2,0.113,33.75,11.78,4.42,8.86,0.17,8.21,capture,27.6,0.2,0,47.9,5.0,1125.5,141.0,1,100.0
2026-06-09 10:25:42,150,rgb,2,person|dog|dog,0.446,0,13.14,3.0,16.14,552.149,1.7974,0.014796,24.55,552.149,276.075,1.76,3.6,0.213,34.21,11.09,4.57,9.41,0.18,8.67,capture,28.4,0.15,0,29.2,5.0,1125.5,141.0,1,100.0
2026-06-09 10:25:43,180,rgb,1,person|dog|dog,0.459,0,10.08,12.6,22.68,772.027,2.5131,0.019429,24.55,772.027,772.027,1.26,1.3,0.105,34.04,12.34,3.96,9.51,0.16,7.84,capture,28.6,0.05,0,22.4,21.0,1125.5,141.0,1,100.0
2026-06-09 10:25:44,210,rgb,2,person|dog|dog,0.453,0,7.87,14.4,22.27,748.495,2.4365,0.02578,24.55,748.495,374.248,1.21,2.7,0.2,33.61,12.56,3.66,9.99,0.15,7.05,capture,27.0,0.54,0,17.5,24.0,1125.5,141.0,1,100.0
2026-06-09 10:25:46,239,rgb,1,person|dog|dog,0.435,0,7.87,14.4,22.27,774.105,2.5199,0.031849,24.55,774.105,774.105,1.24,1.3,0.087,34.76,12.51,3.55,11.44,0.19,6.9,capture,27.7,0.26,0,17.5,24.0,1125.5,141.0,1,100.0
2026-06-09 10:25:47,261,rgb,1,person|dog|dog,0.415,0,7.16,20.4,27.56,1061.887,3.4567,0.038,27.56,1061.887,1061.887,0.79,0.9,0.069,38.53,13.15,3.59,14.42,0.17,7.01,yolo,21.9,2.43,0,15.9,34.0,1125.5,141.0,1,100.0
2026-06-09 10:25:48,285,rgb,1,person|dog|dog,0.41,0,7.16,22.8,29.96,1238.247,4.0308,0.045748,29.96,1238.247,1238.247,0.71,0.8,0.059,41.33,13.19,3.67,17.0,0.15,7.14,yolo,21.4,0.23,0,15.9,38.0,1125.5,141.0,1,100.0
2026-06-09 10:25:49,312,rgb,1,person|person|dog|dog,0.426,0,6.79,13.8,20.59,787.979,2.565,0.053476,29.96,787.979,787.979,1.25,1.3,0.071,38.27,12.93,3.7,14.03,0.13,7.29,yolo,25.7,1.88,0,15.1,23.0,1125.5,141.0,1,100.0
2026-06-09 10:25:50,339,rgb,3,person|dog|dog,0.436,0,32.94,13.8,46.74,1653.661,5.383,0.061737,46.74,1653.661,551.22,0.61,1.8,0.253,35.38,12.4,3.7,11.88,0.14,7.06,capture,28.7,1.17,0,73.2,23.0,1125.5,141.0,1,100.0
